,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
220,Temane,CCGT,CCGT,PP,MZ,450.0,,,0.0,0.0,0.0,2024.0,2024.0,2064.0,-21.755184,35.062531,{nan},{'GGPT': {'L406770'}},2731
221,Harare,Hard Coal,Steam Turbine,PP,ZW,30.0,,,0.0,0.0,0.0,1956.0,1956.0,2001.0,-17.845,31.031667,{nan},{'GCPT': {'G103639'}},217
222,Medupi,Hard Coal,Steam Turbine,PP,ZA,4768.799999999999,,,0.0,0.0,0.0,2015.0,2015.0,2060.0,-23.7049731,27.563839,"{nan, nan, nan, nan, nan, nan}","{'GCPT': {'G106780', 'G106784', 'G106782', 'G106781', 'G106783', 'G106785'}}",739
223,Ndola Cement,Hard Coal,Steam Turbine,PP,ZM,30.0,,,0.0,0.0,0.0,2015.0,2015.0,2060.0,-13.0270112,28.7792015,{nan},{'GCPT': {'G107339'}},1528
224,Richards Bay Mill,Hard Coal,Steam Turbine,PP,ZA,72.3,,,0.0,0.0,0.0,1984.0,1984.0,2029.0,-28.76208,31.99352,"{nan, nan}","{'GCPT': {'G108569', 'G108568'}}",520
225,Zhongxin,Hard Coal,Steam Turbine,PP,ZW,320.0,,,0.0,0.0,0.0,2022.0,2022.0,2067.0,-18.0827745,26.700299,"{nan, nan, nan}","{'GCPT': {'G114859', 'G114860', 'G114861'}}",2482
290,Busanga,Hydro,Reservoir,PP,CD,240.0,,,0.0,0.0,0.0,2021.0,2021.0,2121.0,-10.0904,25.3931,{nan},{'GHPT': {'G601494'}},2506
291,Caculo Cabaca,Hydro,Run-Of-River,PP,AO,2040.0,,,0.0,0.0,0.0,2024.0,2024.0,2124.0,-9.7296,14.8163,{nan},{'GHPT': {'G600012'}},37
292,Julius Nyerere,Hydro,Reservoir,PP,TZ,2115.0,,,0.0,0.0,0.0,2024.0,2024.0,2124.0,-7.8032,37.8511,{nan},{'GHPT': {'G603595'}},1464
293,Kafue Gorge Lower,Hydro,Reservoir,PP,ZM,750.0,,,0.0,0.0,0.0,2021.0,2021.0,2121.0,-15.8959,28.5601,{nan},{'GHPT': {'G604090'}},2399
294,Lauca,Hydro,Run-Of-River,PP,AO,2070.0,,,0.0,0.0,0.0,2017.0,2017.0,2117.0,-9.7449,15.1251,{nan},{'GHPT': {'G600017'}},37
295,Sombwe,Hydro,Reservoir,PP,CD,150.0,,,0.0,0.0,0.0,1971.0,1971.0,2071.0,-9.3877,26.9366,{nan},{'GHPT': {'G601503'}},291
